Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1076-18F-FBHGal,O=C(NCCCCCCO[C@@H]1OC(CO)[C@H](O)C(O)[C@@H]1O)c1ccc(F)cc1,,,,,,,,,,,,,,
1077-18F-2,C[C@]12C[C@H](O)C3C(CCC4=Cc5c(cnn5-c5ccc(F)cc5)C[C@]34C)C1CC[C@]2(O)C(=O)CF,0.06,0.33,0.24,0.63,0.61,,0.66,1.44,0.6,0.32,0.85,0.41,,
1078-18F-2'-FCH2-MPTP,CN1CC=C(c2ccccc2CF)CC1,0.31,2.22,0.65,,1.88,0.88,0.94,0.72,1.6,0.3,,0.93,,
1080-18F-AV-45(1)a,CNc1ccc(/C=C/c2cnc(OCCOCCOCCF)cc2)cc1,,,,,,,,,,,,,,
1080-18F-AV-45,c1c(/C=C/c2ccc(OCCOCCOCCF)nc2)ccc(NC)c1,,,,,,,,,,,,,,
1080-18F23,CNc1ccc(/C=C/c2cnc(OCCOCCOCCNC(=O)CO/N=C/c3ccc(OCCOCCOCCF)cc3)cc2)cc1,,,,,,,,,,,,,,
1080-18F24,CNc1ccc(/C=C/c2cnc(OCCOCCOCCOCCOCCOCCNC(=O)CO/N=C/c3ccc(OCCOCCOCCF)cc3)cc2)cc1,,,,,,,,,,,,,,
1081-18F-1,CN(C)Cc1cc(OCCF)ccc1Sc1c(N)cccc1,,,,,,,,,,,,,,
1081-18F-2,CCCCOc1ccc(Sc2c(N)cccc2)c(CN(C)C)c1,,,,,,,,,,,,,,
1081-18F-3,CCCCCOc1ccc(Sc2c(N)cccc2)c(CN(C)C)c1,,,,,,,,,,,,,,
1081-18F-4,CN(C)Cc1cc(OCCCCCF)ccc1Sc1c(N)cccc1,,,,,,,,,,,,,,
1082A-18F28,CN(Cc1c(Sc2c(N)cccc2)ccc(OCCF)c1)C,,,,,,,,,,,,,,
1082A-18F29,CN(Cc1c(Sc2c(N)cc(F)cc2)ccc(OCCF)c1)C,,,,,,,,,,,,,,
1082A-18F30,CN(Cc1c(Sc2c(N)cc(Cl)cc2)ccc(OCCF)c1)C,,,,,,,,,,,,,,
1082A-18F31,CN(Cc1c(Sc2c(N)cc(Br)cc2)ccc(OCCF)c1)C,,,,,,,,,,,,,,
1082A-18F40,CN(Cc1c(Sc2c(N)cccc2)ccc(OCCCF)c1)C,,,,,,,,,,,,,,
1082A-18F41,CN(Cc1c(Sc2c(N)cc(F)cc2)ccc(OCCCF)c1)C,,,,,,,,,,,,,,
1082A-18F42,CN(Cc1c(Sc2c(N)cc(Br)cc2)ccc(OCCCF)c1)C,,,,,,,,,,,,,,
1083-18F-1,CN(C)CC1=CC(OCCF)CC=C1SC1=C(N)CCC=C1,,,,,,,,,,,,,,
1083-18F-2,CN(CC1=CC(OCCCF)CC=C1SC1=C(N)CCC=C1)C,,,,,,,,,,,,,,
1083-18F-3,CN(CC1=CC(OCCCCF)CC=C1SC1=C(N)CCC=C1)C,,,,,,,,,,,,,,
1083-18F-4,CN(CC1=CC(OCCCCCF)CC=C1SC1=C(N)CCC=C1)C,,,,,,,,,,,,,,
1085-18F5,c1cc(/C=C/c2ccc(OCCOCCOCCF)nc2)ccc1NC,,,,,,,,,,,,,,
1085-18F8a,c1cc(/C=C/c2ccc(OCCOCCOCCOCCOCC(COCCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)ccc1NCC,,,,,,,,,,,,,,
1085-18F8b,c1cc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCC(COCCOCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)ccc1NCC,,,,,,,,,,,,,,
1085-18F8c,c1cc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCCOCC(COCCOCCOCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)ccc1NCC,,,,,,,,,,,,,,
1090-125I3,c1cc(I)ccc1C(=O)NCCCC[C@@H](NC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O,0.6,,,5.6,1.9,,121.0,7.5,4.5,0.8,2.3,141.0,1.5,
1090-125I8,Ic1cc(C(=O)NCCCC[C@H](C(=O)O)NC(=O)N[C@H](CCC(=O)O)C(=O)O)cnc1,1.1,,,1.4,0.4,,205.0,9.7,2.3,0.9,0.8,13.0,0.5,
1090-18F6,c1cc(C(=O)NCCCC[C@H](C(=O)O)NC(=O)N[C@H](CCC(=O)O)C(=O)O)ccc1F,0.7,,,,0.2,,48.0,5.8,0.5,0.5,0.3,7.2,0.25,
1093-18F19,C(Cc1ccc(C2(N3CCCCC3)CCCCC2COCOC)s1)F,0.04,0.2,0.04,,0.07,,0.45,0.2,0.24,,,,,
1093-18F4,C(Cc1ccc(C2(N3CCCCC3)CCCCC2CO)s1)F,0.02,0.17,0.05,,0.07,,0.23,0.11,0.15,,,,,
1094-R18F4,[C@H](Cc1cn(CCF)nn1)(N)C(=O)O,0.14,0.08,0.02,0.02,0.08,,2.39,0.48,0.37,0.05,0.43,0.14,,
1094-S18F4,[C@H](Cc1cn(CCF)nn1)(N)C(=O)O,0.23,0.23,0.05,0.04,0.3,,4.79,0.32,0.56,0.16,1.12,0.47,,
1095-18F6d,c1cc(C)nc(N(CC2C3CCC(N3C)CC2c2ccc(Cl)cc2)C(=O)OC(C)(C)C)c1,,,0.29,,,,,,,,,,,
1096-218F,[C@]1(C)(COC(C)=O)[C@@](C)(OC(C)=O)[C@](C)(OC(C)=O)[C@@](C)(F)[C@@](C)(F)O1,1.4,6.8,1.9,,5.2,,2.7,2.5,4.2,,,3.9,,
1099A-18F6,c1(N)c2c(n([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)cn2)nc(F)n1,0.47,,0.06,,3.22,1.45,3.75,0.72,9.15,,,2.85,,
1101-22,CC(C)(C)n1ncc(OCc2ccc(CCCCF)cc2)c(Cl)c1=O,,,,,,,,,,,,,,
1101-23,CC(C)(C)n1ncc(OCc2ccc(OCCCF)cc2)c(Cl)c1=O,,,,,,,,,,,,,,
1101-24,CC(F)CCc1ccc(COc2c(Cl)c(=O)n(C(C)(C)C)nc2)cc1,,,,,,,,,,,,,,
1101-25,CCC(CF)Oc1ccc(COc2c(Cl)c(=O)n(C(C)(C)C)nc2)cc1,,,,,,,,,,,,,,
1101-26,CC(F)COc1ccc(COc2c(Cl)c(=O)n(C(C)(C)C)nc2)cc1,,,,,,,,,,,,,,
1101-27,CC(C)(C)n1ncc(OCc2ccc(COCCF)cc2)c(Cl)c1=O,,,,,,,,,,,,,,
1101-28,C(Oc1c(Cl)c(=O)n(C(C)(C)C)nc1)c1ccc(COCCF)cc1,,,,,,,,,,,,,,
1111A-18F4b,C1C(N)(C(=O)O)C(F)CC1,0.21,0.14,0.1,,0.3,,2.0,0.41,0.8,0.24,2.65,0.3,,
1112A-2-18F-FBP,c1ccccc1CN1CCC(NC(c2cc(F)ccc2)=O)CC1,0.54,4.89,1.18,,1.09,,3.2,3.35,1.65,0.61,,2.56,,
1112B-2-18F3a,c1cc(C(=O)NC2CCN(Cc3ccccc3)CC2)c(F)cc1,0.22,5.34,4.47,,2.27,,3.02,2.16,5.66,1.37,,5.25,,
1117-123i8,c1c(I)cncc1C(=O)NCCN(CC)CC,,1.5,,,,2.9,,,1.8,,,3.2,5.3,
1117-18F2,C(C)N(CCNC(c1ccc(F)nc1)=O)CC,,2.1,,,,3.9,,,2.9,,,7.2,6.6,
1117-18F4,CN(CCCCNC(c1ccc(F)nc1)=O)CCCC,,2.0,,,,5.8,,,4.5,,,7.4,3.3,
1117-18F6,c1ccnc(F)c1C(=O)NCCN(CC)CC,,3.4,,,,7.1,,,1.5,,,9.2,6.8,
1119-2-18F,C(CF)O,6.84,4.78,7.33,,6.46,,5.83,5.26,6.13,5.23,3.94,5.57,3.78,5.59
1119-3-18F,C(CF)CO,1.69,31.3,2.56,,2.29,,1.33,1.69,1.48,1.96,0.53,1.01,1.05,1.45
1122-CA2-18F,C(CC(CN)F)N,0.1,0.45,,,,,0.47,0.5,0.24,0.13,,0.32,,
1126-18F5a,c1c2c(cc(OCCOCCF)c1)sc(-c1ccc(NC)cc1)n2,4.55,3.17,3.94,,3.81,,3.98,6.35,3.84,2.76,,3.87,,
1126-18F5b,c1c2c(cc(OCCOCCOCCF)c1)sc(-c1ccc(NC)cc1)n2,3.91,1.82,2.18,,3.06,,3.97,11.22,3.63,1.58,,2.84,,
1126-18F5c,c1c2c(cc(OCCOCCOCCOCCOCCOCCF)c1)sc(-c1ccc(NC)cc1)n2,2.46,1.68,1.8,,1.82,,3.5,2.86,2.08,1.52,,1.87,,
